LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID162852,162852,25,0.18168430030345917,2707.3684975589335,734.8856461196522,0.0,54.0,54,11.5,1,,34.421267893660534,34.0,13.0,54.0,16832.0,6.783118330885199,0.07117794808370666,0.6743902863000414
ID162853,162853,30,0.2125440537929535,1105.1738263325847,739.0612052253434,0.0,54.0,54,11.5,1,,31.323108384458077,32.0,0.0,49.0,15317.0,6.669441701763996,0.10533932432015823,0.8951591917229903
ID162858,162858,32,1.2468819618225098,1428.335351441818,1350.276266639475,0.0,54.0,54,11.5,1,,55.49488752556237,46.0,10.0,166.0,27137.0,30.9354906937773,0.3680262373672844,0.9651844509044478
ID162859,162859,66,0.11129764467477798,718.1174910375048,1379.1688157710357,0.0,54.0,54,11.5,1,,28.177914110429448,27.0,7.0,44.0,13779.0,5.4696482700010876,0.039468116651265574,0.391214251575899
ID162856,162856,34,0.5016492009162903,1179.1297708634504,1158.825592893246,0.0,54.0,54,11.5,1,,43.02249488752556,43.0,22.0,70.0,21038.0,8.77411811413627,0.21729155757902455,1.7505332081958174
ID162857,162857,33,0.9255600571632385,920.8566619568736,1168.227280890994,0.0,54.0,54,11.5,1,,43.69938650306749,33.0,10.0,127.0,21369.0,26.638780195019955,0.28600263437602,0.7296577110069776
ID162862,162862,4,1.0826094150543213,2714.4431162418273,1544.72278681243,0.0,54.0,54,11.5,1,,54.263803680981596,47.0,14.0,134.0,26535.0,25.20721376245892,0.34546691121184936,1.1054747299689176
ID162863,162863,5,0.16795356571674347,1164.8685084618296,1586.640764789553,0.0,54.0,54,11.5,1,,38.22290388548057,37.0,20.0,56.0,18691.0,5.502366010554333,0.06895050334204611,0.8961568794796487
ID162860,162860,0,0.2663009762763977,659.1367573155029,1467.6634624274675,0.0,54.0,54,11.5,1,,37.396728016359916,37.0,23.0,59.0,18287.0,6.044072215345869,0.1243977915963387,1.3690731185901626
ID162861,162861,1,0.9382738471031189,805.5017186814464,1543.2490385559192,0.0,54.0,54,11.5,1,,51.46830265848671,47.0,15.0,120.0,25168.0,19.90786970036147,0.3287577213452299,1.2793082857089564
ID162866,162866,9,0.11621946841478348,535.2090521877774,1830.7599443726651,0.0,54.0,54,11.5,1,,32.423312883435585,32.0,12.0,55.0,15855.0,6.600014628822711,0.03712374476888885,0.35169296852121773
ID162867,162867,6,0.11156471818685532,755.8206476408702,1908.0335245894553,0.0,54.0,54,11.5,1,,45.877300613496935,46.0,26.0,60.0,22434.0,4.521043247154687,0.03216141345765815,0.6323779212617401
ID162864,162864,2,0.4743204116821289,3005.0019054769946,1654.4388790603145,0.0,54.0,54,11.5,1,,43.87116564417178,44.0,22.0,72.0,21453.0,8.835111055781782,0.1960433390347197,1.6278048215893661
ID162865,162865,3,0.16900195181369781,635.4979438152634,1804.306789359391,0.0,54.0,54,11.5,1,,35.97341513292434,36.0,13.0,53.0,17591.0,6.393300540141519,0.06691358569724909,0.7057836646052569
ID162870,162870,10,0.13279253244400024,1524.393480834026,2017.7090898387407,0.0,54.0,54,11.5,1,,35.171779141104295,35.0,18.0,55.0,17199.0,5.877082915057922,0.0493621958198484,0.563030045837443
